Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Update RTTx Stats for Upcoming Draft,2/8/2026,5:00:00 PM,2/8/2026,6:00:00 PM,FALSE,,
Confirm BCCS Divisions from Points PDF,2/8/2026,6:00:00 PM,2/8/2026,7:00:00 PM,FALSE,,
Schedule 8 AM Tuesday Email for Draft Opening,2/8/2026,9:00:00 PM,2/8/2026,10:00:00 PM,FALSE,,
RTTR ONLY - Move non-2022 Horses to Separate Sheet,2/8/2026,10:00:00 PM,2/8/2026,11:00:00 PM,FALSE,,
Turn on Draft Countdown Timer,2/9/2026,9:00:00 AM,2/9/2026,10:00:00 AM,FALSE,,
Set Auto-Draft Log Based on M/Ls for Coming Weekend (Wed),2/11/2026,9:00:00 PM,2/11/2026,10:00:00 PM,FALSE,,
Send out Thursday Draft Status Email,2/12/2026,9:00:00 PM,2/12/2026,10:00:00 PM,FALSE,,
Set Auto-Draft Log Based on M/Ls for Coming Weekend (Thurs),2/12/2026,9:00:00 PM,2/12/2026,10:00:00 PM,FALSE,,
Send out Friday Draft Status Email,2/13/2026,9:00:00 PM,2/13/2026,10:00:00 PM,FALSE,,
Turn off Draft Countdown Timer,2/14/2026,11:00:00 AM,2/14/2026,12:00:00 PM,FALSE,,
RTTx Post Draft Tasks,2/14/2026,11:00:00 AM,2/14/2026,12:00:00 PM,FALSE,,
RTTx Post Draft Data Entry Validation,2/14/2026,11:00:00 AM,2/14/2026,12:00:00 PM,FALSE,"League Sheet > Import Stables Sheet > Confirm there are no Red Flags in Columns A, D, E, and F, and for any Horse Name Columns in Subsequent Drafts",
"Compile and Send out updated ""View All Stables PDF""",2/14/2026,11:00:00 AM,2/14/2026,12:00:00 PM,FALSE,,
Compile and Send out RTTx Week #x Entries PDF,2/14/2026,12:00:00 PM,2/14/2026,1:00:00 PM,FALSE,,
RTTR ONLY - Move non-2022 Horses Back to Global Lists,2/14/2026,1:00:00 PM,2/14/2026,1:00:00 PM,FALSE,,
Update Stats from the Latest Draft,2/16/2026,5:00:00 PM,2/16/2026,8:00:00 PM,FALSE,,
Add All New Draft Horses to the Virtual Stable,2/16/2026,8:00:00 PM,2/16/2026,9:00:00 PM,FALSE,,
Update 3 Calendar CSV Files for Next Draft,2/16/2026,9:00:00 PM,2/16/2026,10:00:00 PM,FALSE,,
