Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Execute Manually: RemoveCondFormatHorseNameColumnHorsesSheet_RTTx(),3/24/2025,6:00:00 PM,3/24/2025,7:00:00 PM,FALSE,,
Trigger: HideHorseDataBeforeDrafting_RTTx(),3/24/2025,6:00:00 PM,3/24/2025,7:00:00 PM,FALSE,,
Trigger: HideTrainerJockeySireDataBeforeDrafting_RTTBC(),3/24/2025,7:00:00 PM,3/24/2025,8:00:00 PM,FALSE,,
Trigger: PowerHorseON(),3/24/2025,7:00:00 PM,3/24/2025,8:00:00 PM,FALSE,,
Trigger: GrantDraftXXAccess(),3/24/2025,8:00:00 PM,3/24/2025,9:00:00 PM,FALSE,,
Task: Execute MergeUnusedScoreboardCells(),3/24/2025,9:00:00 PM,3/24/2025,10:00:00 PM,FALSE,,
Trigger: RemoveDraftxxAccess(),3/29/2025,11:00:00 AM,3/29/2025,12:00:00 PM,FALSE,,
Trigger: ShowHorseDataAfterDrafting_RTTx(),3/29/2025,12:00:00 PM,3/29/2025,1:00:00 PM,FALSE,,
Execute Manually: AddCondFormatHorseNameColumnHorsesSheet_RTTBC(),3/29/2025,1:00:00 PM,3/29/2025,2:00:00 PM,FALSE,,
Trigger: ShowTrainerJockeySireDataAfterDrafting_RTTBC(),3/29/2025,1:00:00 PM,3/29/2025,2:00:00 PM,FALSE,,
