Subject,Start Date,End Date,All Day Event,Location
Week #1 Nominations Close (CD),5/22/2024,5/22/2024,TRUE,
Week #1 Nominations Close (SAR),5/25/2024,5/25/2024,TRUE,
Week #1 Nominations Close (SA),5/30/2024,5/30/2024,TRUE,
Week #2 Nominations Close (BAQ),6/1/2024,6/1/2024,TRUE,
Week #2 Nominations Close (MTH),6/2/2024,6/2/2024,TRUE,
Draft #1 Opens,6/3/2024,6/3/2024,TRUE,
Week #3 Nominations Close (CD),6/5/2024,6/5/2024,TRUE,
Belmont S.-G1,6/8/2024,6/8/2024,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
True North H.-G2,6/8/2024,6/8/2024,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Woody Stephens S.-G1,6/8/2024,6/8/2024,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Metropolitan H.-G1,6/8/2024,6/8/2024,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Ogden Phipps S.-G1,6/8/2024,6/8/2024,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Suburban S.-G2,6/8/2024,6/8/2024,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Summertime Oaks-G2,6/8/2024,6/8/2024,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Draft #1 Closes,6/8/2024,6/8/2024,TRUE,
Matt Winn S.-G3,6/9/2024,6/9/2024,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Week #3 Nominations Close (TDN),6/12/2024,6/12/2024,TRUE,
Week #4 Nominations Close (CD),6/12/2024,6/12/2024,TRUE,
Salvator Mile-G3,6/15/2024,6/15/2024,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Bed o' Roses Invitational-G2,6/15/2024,6/15/2024,TRUE,"Aqueduct Racetrack, 11000 Rockaway Blvd, Jamaica, NY 11420"
Week #14 Nominations Close (DMR),6/21/2024,6/21/2024,TRUE,
Week #5 Nominations Close (IND),6/21/2024,6/21/2024,TRUE,
Chicago H.-G3,6/22/2024,6/22/2024,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Ohio Derby-G3,6/22/2024,6/22/2024,TRUE,"Thistledown, 21501 Emery Rd, North Randall, OH 44128"
Week #4 Nominations Close (LRC),6/22/2024,6/22/2024,TRUE,
Week #5 Nominations Close (BAQ),6/22/2024,6/22/2024,TRUE,
Week #5 Nominations Close (DEL),6/22/2024,6/22/2024,TRUE,
Week #5 Nominations Close (PRM),6/22/2024,6/22/2024,TRUE,
Draft #2 Opens,6/25/2024,6/25/2024,TRUE,
Week #7 Nominations Close (Haskell),6/28/2024,6/28/2024,TRUE,
Fleur de Lis S.-G2,6/29/2024,6/29/2024,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Stephen Foster S.-G1,6/29/2024,6/29/2024,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Draft #2 Closes,6/29/2024,6/29/2024,TRUE,
Week #6 Nominations Close (SAR),6/29/2024,6/29/2024,TRUE,
Victory Ride S.-G3,7/4/2024,7/4/2024,TRUE,"Aqueduct Racetrack, 11000 Rockaway Blvd, Jamaica, NY 11420"
Brooklyn S.-G2,7/5/2024,7/5/2024,TRUE,"Aqueduct Racetrack, 11000 Rockaway Blvd, Jamaica, NY 11420"
Week #7 Nominations Close (MTH),7/5/2024,7/5/2024,TRUE,
John A. Nerud S.-G2,7/6/2024,7/6/2024,TRUE,"Aqueduct Racetrack, 11000 Rockaway Blvd, Jamaica, NY 11420"
Dwyer S.-G3,7/6/2024,7/6/2024,TRUE,"Aqueduct Racetrack, 11000 Rockaway Blvd, Jamaica, NY 11420"
Great Lady M S.-G2,7/6/2024,7/6/2024,TRUE,"Los Alamitos Race Course, 4961 Katella Ave, Cypress, CA 90720"
Prairie Meadows Cornhusker H.-G3,7/6/2024,7/6/2024,TRUE,"Prairie Meadows, 1 Prairie Meadows Dr, Altoona, IA 50009"
Delaware Oaks-G3,7/6/2024,7/6/2024,TRUE,"Delaware Park, 777 Delaware Park Blvd, Wilmington, DE 19804"
