Subject,Start Date,End Date,All Day Event,Location
"RTTR151 Draft # 1 (5 Horses, 2 Trainers, 2 Jockeys)",1/13/2025,1/18/2025,TRUE,
RTTR151 WEEK # 1,1/18/2025,1/18/2025,TRUE,
Lecomte Stakes (Tier 3),1/18/2025,1/18/2025,TRUE,"Fair Grounds Race Course, 1751 Gentilly Blvd, New Orleans, LA 70119"
Southwest Stakes (Tier 3),1/25/2025,1/25/2025,TRUE,"Oaklawn Park, 2705 Central Ave, Hot Springs, AR 71901"
RTTR151 WEEK # 2,1/25/2025,1/25/2025,TRUE,
Withers Stakes (Tier 3),2/1/2025,2/1/2025,TRUE,"Aqueduct Race Track, 11000 Rockaway Blvd, Queens, NY 11420"
Holy Bull Stakes (Tier 3),2/1/2025,2/1/2025,TRUE,"Gulfstream Park, 901 S Federal Hwy, Hallandale Beach, FL 33009"
Robert B. Lewis Stakes (Tier 3),2/1/2025,2/1/2025,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
RTTR151 WEEK # 3,2/1/2025,2/1/2025,TRUE,
Sam F. Davis Stakes (Tier 3),2/8/2025,2/8/2025,TRUE,"Tampa Bay Downs, 11225 Race Track Rd, Tampa, FL 33626"
RTTR151 WEEK # 4,2/8/2025,2/8/2025,TRUE,
RTTR151 DRAFT # 2 (5 Horses),2/10/2025,2/15/2025,TRUE,
Risen Star Stakes (Tier 2),2/15/2025,2/15/2025,TRUE,"Fair Grounds Race Course, 1751 Gentilly Blvd, New Orleans, LA 70119"
RTTR151 WEEK # 5,2/15/2025,2/16/2025,TRUE,
Sunland Park Derby (Tier 3),2/16/2025,2/16/2025,TRUE,"Sunland Park, 1200 Futurity Dr, Sunland Park, NM 88063"
Rebel Stakes (Tier 2),2/22/2025,2/22/2025,TRUE,"Oaklawn Park, 2705 Central Ave, Hot Springs, AR 71901"
RTTR151 WEEK # 6,2/22/2025,2/22/2025,TRUE,
John Battaglia Memorial Stakes (Tier 3),2/22/2025,2/22/2025,TRUE,"Turfway Park, 7500 Turfway Rd, Florence, KY 41042"
Gotham Stakes (Tier 2),3/1/2025,3/1/2025,TRUE,"Aqueduct Race Track, 11000 Rockaway Blvd, Queens, NY 11420"
Fountain of Youth Stakes (Tier 2),3/1/2025,3/1/2025,TRUE,"Gulfstream Park, 901 S Federal Hwy, Hallandale Beach, FL 33009"
RTTR151 WEEK # 7,3/1/2025,3/2/2025,TRUE,
San Felipe Stakes (Tier 2),3/2/2025,3/2/2025,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Tampa Bay Derby (Tier 2),3/8/2025,3/8/2025,TRUE,"Tampa Bay Downs, 11225 Race Track Rd, Tampa, FL 33626"
RTTR151 WEEK # 8,3/8/2025,3/8/2025,TRUE,
RTTR151 WEEK # 9,3/15/2025,3/15/2025,TRUE,
Virginia Derby (Tier 2),3/15/2025,3/15/2025,TRUE,"Colonial Downs Racetrack, 10515 Colonial Downs Pkwy, New Kent, VA 23124"
Louisiana Derby (Tier 1),3/22/2025,3/22/2025,TRUE,"Fair Grounds Race Course, 1751 Gentilly Blvd, New Orleans, LA 70119"
Jeff Ruby Steaks (Tier 1),3/22/2025,3/22/2025,TRUE,"Turfway Park, 7500 Turfway Rd, Florence, KY 41042"
RTTR151 WEEK # 10,3/22/2025,3/22/2025,TRUE,
RTTR151 Draft # 3 (0-5 Horses),3/24/2025,3/29/2025,TRUE,
Florida Derby (Tier 1),3/29/2025,3/29/2025,TRUE,"Gulfstream Park, 901 S Federal Hwy, Hallandale Beach, FL 33009"
Arkansas Derby (Tier 1),3/29/2025,3/29/2025,TRUE,"Oaklawn Park, 2705 Central Ave, Hot Springs, AR 71901"
RTTR151 WEEK # 11,3/29/2025,3/29/2025,TRUE,
Wood Memorial (Tier 1),4/5/2025,4/5/2025,TRUE,"Aqueduct Race Track, 11000 Rockaway Blvd, Queens, NY 11420"
Blue Grass Stakes (Tier 1),4/5/2025,4/5/2025,TRUE,"Keeneland, 4201 Versailles Rd, Lexington, KY 40510"
Santa Anita Derby (Tier 1),4/5/2025,4/5/2025,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
RTTR151 WEEK # 12,4/5/2025,4/5/2025,TRUE,
Lexington Stakes (Tier 3),4/12/2025,4/12/2025,TRUE,"Keeneland, 4201 Versailles Rd, Lexington, KY 40510"
RTTR151 WEEK # 13,4/12/2025,4/12/2025,TRUE,
RTTR151 Draft # 4 (Any Remaining Horses),4/28/2025,5/3/2025,TRUE,
Kentucky Derby (Championship Tier),5/3/2025,5/3/2025,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
RTTR151 CHAMPIONSHIP WEEK,5/3/2025,5/3/2025,TRUE,
